popularity,title,genre
289,Akagami no Shirayuki-hime,"['Fantasy', 'Romance', 'Drama', 'Shoujo']"
281,91 Days,"['Action', 'Drama', 'Historical']"
425,Wolf's Rain,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']"
3391,Tentai Senshi Sunred,"['Comedy', 'Parody', 'Super Power', 'Seinen']"
480,Shingeki no Kyojin OVA,"['Action', 'Super Power', 'Drama', 'Fantasy', 'Shounen']"
3569,Maria-sama ga Miteru 4th,"['School', 'Shoujo', 'Shoujo Ai', 'Slice of Life']"
1648,Kubikiri Cycle: Aoiro Savant to Zaregototsukai,"['Action', 'Mystery', 'Supernatural', 'Drama']"
600,Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!,"['Magic', 'Adventure', 'Fantasy', 'Comedy', 'Supernatural']"
442,Karakai Jouzu no Takagi-san,"['Romance', 'Comedy', 'School', 'Slice of Life', 'Shounen']"
647,Junjou Romantica,"['Comedy', 'Drama', 'Romance', 'Shounen Ai']"
1355,Fate/Grand Order: Zettai Majuu Sensen Babylonia,"['Action', 'Fantasy', 'Magic', 'Supernatural']"
1680,Emiya-san Chi no Kyou no Gohan,"['Slice of Life', 'Comedy']"
66,Charlotte,"['Drama', 'School', 'Super Power']"
3511,Capeta,"['Cars', 'Shounen', 'Sports']"
1934,Break Blade 5: Shisen no Hate,"['Action', 'Military', 'Fantasy', 'Mecha', 'Shounen']"
2645,Aggressive Retsuko (ONA) 2nd Season,"['Slice of Life', 'Comedy']"
6783,Yao Shen Ji 3rd Season,"['Action', 'Adventure', 'Demons', 'Fantasy', 'Martial Arts', 'Romance']"
500,Space☆Dandy,"['Sci-Fi', 'Space', 'Comedy']"
2090,Slayers Try,"['Adventure', 'Comedy', 'Demons', 'Magic', 'Fantasy', 'Shounen']"
3331,Seikai no Senki II,"['Action', 'Military', 'Romance', 'Sci-Fi', 'Space']"
2014,Mobile Suit Gundam Wing: Endless Waltz Movie,"['Action', 'Space', 'Mecha', 'Military', 'Drama', 'Sci-Fi']"
2804,Kyou kara Maou! 3rd Series,"['Adventure', 'Comedy', 'Demons', 'Fantasy', 'Shoujo']"
135,Kokoro Connect,"['Slice of Life', 'Comedy', 'Supernatural', 'Drama', 'Romance', 'School']"
4248,Jungle wa Itsumo Hare nochi Guu Deluxe,"['Comedy', 'Slice of Life']"
1942,Hybrid Child,"['Drama', 'Historical', 'Romance', 'Sci-Fi', 'Shounen Ai']"
3615,Hakuouki Movie 2: Shikon Soukyuu,"['Action', 'Historical', 'Supernatural', 'Drama', 'Samurai', 'Josei']"
2479,Haikyuu!! Movie 1: Owari to Hajimari,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']"
812,Gungrave,"['Action', 'Drama', 'Sci-Fi', 'Seinen', 'Super Power']"
1858,Goku Sayonara Zetsubou Sensei,"['Comedy', 'Parody', 'School', 'Shounen']"
